Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
38	1000.0	0.0	1000.0	1000.0	1000.0	99.99869	0.12568237	100.78887	98.64451	195000	1.3571977e-08	0.017517585	-0.005303735	-0.00047534332	0.31342334	0.0029267482	0.0256	79.0	90.38645529747009
39	1000.0	0.0	1000.0	1000.0	1000.0	99.99559	0.120115265	100.54377	99.004005	200000	-8.8512895e-09	0.014523662	-0.004801788	-0.00038337987	0.2926545	0.00481611	0.0338	79.0	92.6121985912323
40	1000.0	0.0	1000.0	1000.0	1000.0	100.0042	0.11809197	100.461945	98.83903	205000	-1.2534857e-08	0.015406688	-0.005950579	-0.00065506995	0.2767333	0.0041355104	0.0398	79.0	95.25515699386597
41	1000.0	0.0	1000.0	1000.0	1000.0	99.99925	0.108271666	100.40808	99.21986	210000	2.9325484e-09	0.012123717	-0.0048279692	-0.00031697564	0.2649576	0.0012342387	0.0252	79.0	97.64770007133484
42	1000.0	0.0	1000.0	1000.0	1000.0	100.0085	0.10785232	100.59501	99.14979	215000	-5.9843064e-09	0.011941609	-0.0033207021	-0.00027195085	0.2531304	0.0023891916	0.0082	79.0	100.2382640838623
43	1000.0	0.0	1000.0	1000.0	1000.0	100.001785	0.107000865	100.55038	99.08427	220000	9.083748e-09	0.011834821	-0.0042119073	-0.00029907282	0.2521083	0.0031040143	0.0116	79.0	102.48192572593689
44	1000.0	0.0	1000.0	1000.0	1000.0	100.00476	0.10406594	100.50165	99.22631	225000	-9.745359e-09	0.011027613	-0.0041288394	-0.00028591603	0.24608243	0.003460409	0.0224	79.0	104.69107604026794
45	1000.0	0.0	1000.0	1000.0	1000.0	100.00148	0.10430671	100.48783	99.052414	230000	5.4061413e-09	0.011210237	-0.0047628568	-0.00028097443	0.22634709	0.004384711	0.0232	79.0	106.83862733840942
46	1000.0	0.0	1000.0	1000.0	1000.0	100.00101	0.09749269	100.592316	99.15634	235000	-2.1672248e-08	0.010009501	-0.0036765877	-0.00019796565	0.22320955	0.0015507744	0.0194	79.0	109.37345862388611
47	1000.0	0.0	1000.0	1000.0	1000.0	99.99355	0.097143754	100.550026	99.13951	240000	3.2901764e-09	0.009534938	-0.005064247	-0.00020078942	0.20780554	0.0033700317	0.0376	79.0	111.55545020103455
