Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
63	200.0	0.0	200.0	200.0	200.0	58.59324	4.462524	70.08805	38.03794	320000	-9.483099e-09	572.1755	-0.0022470048	-1.5427856	0.45550394	0.0035222617	0.014	79.0	127.76073217391968
64	200.0	0.0	200.0	200.0	200.0	57.332783	4.3567247	69.42134	37.877094	325000	-5.7563185e-09	634.7789	-0.0015656914	-36.743347	0.45542553	0.0038293484	0.0136	79.0	129.73555421829224
65	200.0	0.0	200.0	200.0	200.0	59.182163	1.7024881	66.28828	47.89389	330000	-1.9185245e-08	606.8942	-0.0022862798	-56.826965	0.45107862	0.0009014426	0.017	79.0	131.70026922225952
66	200.0	0.0	200.0	200.0	200.0	57.654	3.4760365	70.0232	46.350296	335000	-6.249547e-09	558.97687	-0.0023910063	-12.252258	0.45916206	0.0046655308	0.0326	79.0	133.66753506660461
67	200.0	0.0	200.0	200.0	200.0	56.373177	5.0161514	71.16958	39.97557	340000	-3.4570693e-09	552.78973	-0.0014215534	-7.499634	0.44984242	0.0013067651	0.0046	79.0	135.63313460350037
68	200.0	0.0	200.0	200.0	200.0	60.595886	6.2886066	76.52945	44.42514	345000	-2.9355287e-09	548.9963	-0.000763821	-11.653381	0.44833398	0.00093090953	0.0032	79.0	137.70157265663147
69	200.0	0.0	200.0	200.0	200.0	58.518826	6.5658565	79.214714	40.024467	350000	4.23342e-09	500.2131	-0.004771991	-15.360596	0.45496508	0.005336539	0.0414	79.0	139.85578846931458
70	200.0	0.0	200.0	200.0	200.0	59.80795	7.0479646	79.37169	37.74671	355000	1.3388694e-08	588.142	-0.0030509576	-13.160706	0.46161407	0.0031331566	0.0256	79.0	141.76531505584717
71	200.0	0.0	200.0	200.0	200.0	59.568188	5.1285377	72.2769	44.735878	360000	7.1223827e-09	607.4167	-0.0019436129	-19.11676	0.45573202	0.0019782558	0.0176	79.0	143.6846306324005
72	200.0	0.0	200.0	200.0	200.0	55.7488	2.680352	64.80268	43.820827	365000	2.4485589e-08	574.52234	-0.0020218294	-9.31543	0.45322174	0.003037193	0.017	79.0	145.57782101631165
73	200.0	0.0	200.0	200.0	200.0	59.285263	5.2793894	70.78924	44.277504	370000	1.9490718e-09	521.0153	-0.0028820685	-23.683533	0.4539037	0.0029606652	0.0194	79.0	147.46787309646606
74	200.0	0.0	200.0	200.0	200.0	56.589626	8.364948	81.614136	33.464382	375000	-5.784631e-09	506.80875	-0.002112445	-8.071991	0.4434918	0.0014744533	0.0172	79.0	149.44840836524963
75	200.0	0.0	200.0	200.0	200.0	57.87724	9.285096	79.1246	30.87909	380000	1.4075637e-08	551.2479	-0.002410386	-14.356628	0.4556741	0.005042934	0.0194	79.0	151.47769403457642
76	200.0	0.0	200.0	200.0	200.0	60.543163	6.801664	77.55465	40.3871	385000	-5.5097042e-09	637.82214	-0.0022861029	-46.577576	0.45154694	0.0016688792	0.0146	79.0	153.44680857658386
77	200.0	0.0	200.0	200.0	200.0	58.762123	2.07917	65.429436	45.055107	390000	2.56747e-09	600.2722	-0.001352725	-28.994873	0.4637354	0.002353231	0.0136	79.0	155.39839124679565
78	200.0	0.0	200.0	200.0	200.0	56.997524	3.5614479	67.55447	43.02762	395000	1.7550589e-08	566.4758	-0.0022629432	-8.948303	0.4590929	0.0048556235	0.018	79.0	157.36144590377808
79	200.0	0.0	200.0	200.0	200.0	57.318363	5.720642	69.29781	30.01026	400000	7.802248e-09	522.9333	-0.0031908394	-27.406647	0.45874542	0.003534483	0.0272	79.0	159.24812388420105
80	200.0	0.0	200.0	200.0	200.0	56.877064	7.244865	74.40716	34.22057	405000	-1.6987324e-10	416.78326	-0.003908575	-74.785	0.47047427	0.006187495	0.04	79.0	161.2081596851349
81	200.0	0.0	200.0	200.0	200.0	64.68785	14.794467	100.05012	23.22348	410000	-2.4735927e-09	585.9599	-0.002620638	-86.41196	0.46906403	0.00527319	0.033	79.0	163.1739628314972
82	200.0	0.0	200.0	200.0	200.0	59.832474	7.3972135	82.63331	38.16308	415000	5.2899124e-10	633.13574	-0.0013060753	-30.96875	0.46302724	0.0022529403	0.0098	79.0	165.0407509803772
83	200.0	0.0	200.0	200.0	200.0	58.1291	4.351529	70.76093	45.51556	420000	-9.533763e-09	562.9131	-0.0025565359	-5.529358	0.46569082	0.0024450254	0.0226	79.0	167.03068041801453
84	200.0	0.0	200.0	200.0	200.0	55.63443	5.5401664	69.725296	36.402554	425000	-1.4168024e-08	523.82745	-0.0030710034	-18.90445	0.47206464	0.004945028	0.0268	79.0	168.9185392856598
85	200.0	0.0	200.0	200.0	200.0	57.61004	6.107572	72.33066	39.525185	430000	1.3076514e-08	576.86084	-0.0032340582	-10.597839	0.48321378	0.004124618	0.031	79.0	170.90104961395264
86	195.96	19.791876	200.0	99.0	195.96	63.28724	5.224005	75.82187	3.6385574	435000	-4.03896e-09	632.0481	-0.002912796	-56.809204	0.48827457	0.0036241359	0.0162	79.0	172.84448266029358
87	200.0	0.0	200.0	200.0	200.0	57.036987	2.4963915	63.322987	42.71129	440000	3.1769276e-09	608.7305	-0.0030774786	-30.775635	0.47485223	0.005735837	0.0266	79.0	174.88647532463074
88	200.0	0.0	200.0	200.0	200.0	57.794994	1.4161415	63.64164	51.923832	445000	1.7166137e-08	571.018	-0.0043928083	-58.206726	0.47784188	0.0033871986	0.0214	79.0	176.95818448066711
89	200.0	0.0	200.0	200.0	200.0	58.665813	4.2541103	72.66645	47.45059	450000	7.2792172e-09	540.4741	-0.00232947	-9.207886	0.47723246	0.004242947	0.017	79.0	179.01200127601624
90	200.0	0.0	200.0	200.0	200.0	55.776413	6.748779	74.50148	34.948257	455000	-1.1324882e-09	502.8159	-0.0030647768	-18.225525	0.46671957	0.008007403	0.026	79.0	181.07945084571838
91	200.0	0.0	200.0	200.0	200.0	66.205	8.618213	86.60535	41.794193	460000	-6.493926e-09	577.363	-0.0028146151	-65.46344	0.46420968	0.0034898715	0.03	79.0	182.95075225830078
92	200.0	0.0	200.0	200.0	200.0	56.21535	9.409872	87.73152	32.298622	465000	-4.5895576e-10	638.3246	-0.0021718787	-52.851868	0.45649713	0.0019197682	0.0092	79.0	184.83910989761353
93	200.0	0.0	200.0	200.0	200.0	59.807613	4.064405	69.83426	46.61787	470000	-5.900487e-09	588.8752	-0.0027853246	-10.667053	0.45802772	0.0036584176	0.024	79.0	186.8256072998047
94	200.0	0.0	200.0	200.0	200.0	59.49772	3.3840687	72.28836	48.38	475000	-1.7908215e-08	607.20526	-0.0025867585	-21.066895	0.45556113	0.0042484268	0.0144	79.0	189.03375124931335
95	200.0	0.0	200.0	200.0	200.0	58.807056	2.1837082	66.987976	50.466408	480000	-6.3359735e-09	605.7497	-0.0035196478	-60.591675	0.45435342	0.001969017	0.0342	79.0	190.96417212486267
96	200.0	0.0	200.0	200.0	200.0	56.78831	4.526592	69.7075	36.71897	485000	-9.23872e-09	512.4724	-0.0030182987	-36.408813	0.4488441	0.0019583781	0.0296	79.0	193.01041316986084
97	200.0	0.0	200.0	200.0	200.0	57.739536	8.807439	77.40251	29.36994	490000	-8.685887e-09	484.94254	-0.0023783424	-4.7345276	0.45167255	0.00082312746	0.018	79.0	195.00728702545166
98	200.0	0.0	200.0	200.0	200.0	60.619293	12.097767	84.10593	24.502174	495000	-9.187125e-09	517.78577	-0.0016195024	-20.044525	0.46951059	0.0028249428	0.0074	79.0	197.01462244987488
99	200.0	0.0	200.0	200.0	200.0	56.188	7.6170173	75.7364	35.283436	500000	1.1149049e-08	517.2897	-0.0027449296	-5.37442	0.46573815	0.0042616534	0.0212	79.0	199.10252404212952
